BFY,FTYP,FUNDTYPE,APPR,DEPARTMENT,SVC,SERVICE,OBJECTGROUP,BUDCURR,ENCBFY,EXPBFY,ENCEXP
2022,GNFD,General Fund,0001OEQ,Mgmt Services - Environmental Quaity,3.14,Environmental Quality,Personnel Services,7929098,0,7667895.57,7667895.57
2022,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.07,Archives,Supplies & Materials,1250,0,1089.73,1089.73
2022,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.02,City Detention Center,Contractual & Other Services,44162,200,19250.82,19450.82
2023,GNFD,General Fund,0001LIB,Library GF,4.07,Library Operations & Public Service,Reimbursements,0,0,-207161.58,-207161.58
2023,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.10,Boards and Commissions Support,Supplies & Materials,1375,0,313.85,313.85
2022,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.C,Business Technology Services,Contractual & Other Services,24456674,561252.32,18221102.3,18782354.62
2023,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,4.02,City-Owned Cultural Venues,Personnel Services,4747719,0,3925947.15,3925947.15
2022,GNFD,General Fund,0001CSC,Mgmt Services - 311 Customer Service Center,5.01,311 Customer Service Center,Reimbursements,-3765665,0,-3965665,-3965665
2023,INSV,Internal Service Fund,0265PER,HR Agency Funds,5.39,HR Consulting (HRP/Investigations),Contractual & Other Services,0,0,21715755.92,21715755.92
2022,GNFD,General Fund,0001ECO,Economic Development GF,2.01,Area Development,Supplies & Materials,7500,0,780.06,780.06
2023,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.20,Residential Refuse Collection,Contractual & Other Services,25029005,431907.86,20546578.65,20978486.51
2022,GNFD,General Fund,0001IPS,MGT- Office of Integrated Public Safety Solutions,5.66,Office of Integrated Public Safety Solutions,Personnel Services,1992056,0,1890084.11,1890084.11
2023,GNFD,General Fund,0001DPD,Police Department GF,1.24,Police Field Patrol,Capital Outlay,5000000,5190542.39,17503,5208045.39
2023,GNFD,General Fund,0001CVS,Civil Service GF,5.04,Analysis/Development and Validation,Contractual & Other Services,124254,0,23591.71,23591.71
2022,GNFD,General Fund,0001BMS,Office of Financial Services GF,9.99,Department Support,Contractual & Other Services,1250,0,9629.26,9629.26
2022,GNFD,General Fund,0001OEM,Mgmt Services - Emergency Management,1.07,Emergency Management Operations,Reimbursements,-287339,0,-169333.83,-169333.83
2022,GNFD,General Fund,0001DPD,Police Department GF,1.20,Police Academy and In-service Training,Contractual & Other Services,4395166,0,4098214.1,4098214.1
2023,GNFD,General Fund,0001PKR,Park and Recreation GF,4.01,Aquatic Services,Supplies & Materials,1682334,319844.85,1419362.22,1739207.07
2023,GNFD,General Fund,0001ECO,Economic Development GF,2.04,Business  & Community Development,Reimbursements,-275195,0,0,0
2023,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.09,Fire and Rescue Emergency Response,Reimbursements,-12232617,0,-522513,-522513
2023,EFOP,Enterprise Operating Fund,0164AVI,Transportation Regulation,2.12,Dallas Love Field,Personnel Services,0,0,56204.49,56204.49
2023,GNFD,General Fund,0001CTJ,Judiciary GF,1.05,Court Security,Contractual & Other Services,7820,0,606,606
2023,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,2.20,Floodplain and Drainage Management,Supplies & Materials,983979,102447.13,399860.51,502307.64
2023,GNFD,General Fund,0001PER,Human Resources GF,5.68,Onboarding and Recruitment Services,Reimbursements,0,0,-41523.2,-41523.2
2023,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.06,Dallas City Marshal,Personnel Services,4195268,0,2501905.14,2501905.14
2022,EFOP,Enterprise Operating Fund,0080CCT,Convention Center CCT,2.10,Dallas Convention Center,Supplies & Materials,2805050,0,2772685.57,2772685.57
2023,GNFD,General Fund,0001BSD,Building Services,5.17,"City Facility Operation, Maintenance and Repair",Contractual & Other Services,4238836,2785399.25,4107784.99,6893184.24
2023,GNFD,General Fund,0001CCS,Code Compliance GF,3.17,Neighborhood Code Compliance Services,Contractual & Other Services,5084436,306169.53,4404684.86,4710854.39
2022,GNFD,General Fund,0001CCS,Code Compliance GF,3.18,Neighborhood Nuisance Abatement,Supplies & Materials,270497,0,492843.49,492843.49
2023,INSV,Internal Service Fund,0196EFM,Equipment and Fleet Management,5.E,City Fleet Maintenance and Repair Services,Contractual & Other Services,11489512,2838675.22,11039684.79,13878360.01
2023,GNFD,General Fund,0001PBW,Public Works GF,2.39,Service Maintenance Areas,Capital Outlay,512923,0,387817.74,387817.74
2022,GNFD,General Fund,0001DPD,Police Department GF,1.15,Juvenile Case Managers/First Offender Program,Reimbursements,-442847,0,-420994.89,-420994.89
2022,GNFD,General Fund,0001PBW,Public Works GF,2.41,Street Cut and Right-of-Way Management (Cut Control),Capital Outlay,0,0,0,0
2023,GNFD,General Fund,0001POM,Business Development & Procurement GF,5.49,Purchasing/Contract Management,Supplies & Materials,25412,0,9173.83,9173.83
2022,GNFD,General Fund,0001CCS,Code Compliance GF,3.18,Neighborhood Nuisance Abatement,Reimbursements,-872186,0,-774682.57,-774682.57
2022,INSV,Internal Service Fund,0294PBW,Public Works - Office of the Bond Program,2.05,Capital and Implementation Program,Capital Outlay,21500,0.1,36604.02,36604.12
2023,GNFD,General Fund,0001BSD,Building Services,5.17,"City Facility Operation, Maintenance and Repair",Transfers Out,3406216,0,0,0
2022,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.08,"EMS Administration, Contracts, and Community Health",Supplies & Materials,97072,0,104317.68,104317.68
2023,GNFD,General Fund,0001PBW,Public Works GF,5.43,Land Surveying Services,Supplies & Materials,3139,0,547.5,547.5
2022,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.22,GIS Mapping for Private Development,Supplies & Materials,5989,0,55.88,55.88
2022,INSV,Internal Service Fund,0197DSV,Radio Services DSV,5.M,Internal Radio Communication,Transfers Out,141213,0,136253.56,136253.56
2022,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.K,Internal Computer Support,Supplies & Materials,15715,0,36717.05,36717.05
2022,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,2.20,Floodplain and Drainage Management,Capital Outlay,136020,105484.79,90069.5,195554.29
2022,GNFD,General Fund,0001OFS,Non-Departmental,5.35,General Obligation Commercial Paper and Master Lease Program,Contractual & Other Services,17510176,0,17476576.26,17476576.26
2023,GNFD,General Fund,0001ECO,Economic Development GF,2.13,Economic Development Major Projects & Other Programs,Contractual & Other Services,250094,0,2613.11,2613.11
2022,GNFD,General Fund,0001TRN,Transportation GF,2.27,Mobility Planning,Supplies & Materials,0,-46.26,26.26,-20
2022,GNFD,General Fund,0001PBW,Public Works GF,2.72,Pavement Preservation,Personnel Services,672853,0,640665.44,640665.44
2022,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,9.99,Department Support,Reimbursements,-3893859,0,-3437049.81,-3437049.81
2023,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.08,"EMS Administration, Contracts, and Community Health",Reimbursements,0,0,-1189.84,-1189.84
2023,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.16,Landfill Services,Supplies & Materials,2333866,21018.42,1173748.5,1194766.92
2023,EFOP,Enterprise Operating Fund,0080CCT,Convention Center CCT,2.10,Dallas Convention Center,Supplies & Materials,2789572,8367.89,2306708.7,2315076.59
2023,GNFD,General Fund,0001CCS,Code Compliance GF,3.18,Neighborhood Nuisance Abatement,Capital Outlay,1226297,1308440.4,777643.55,2086083.95
2022,GNFD,General Fund,0001PKR,Park and Recreation GF,4.09,Park Land Maintained,Reimbursements,-3323485,0,-3632797.34,-3632797.34
2022,GNFD,General Fund,0001HOU,Housing GF,2.67,New Development,Personnel Services,1121775,0,727945.68,727945.68
2022,GNFD,General Fund,0001ATT,City Attorney's Office GF,1.28,Police Legal Liaison,Supplies & Materials,0,0,74.89,74.89
2023,GNFD,General Fund,0001DPD,Police Department GF,1.20,Police Academy and In-service Training,Capital Outlay,0,39594,13858.64,53452.64
2022,GNFD,General Fund,0001CTJ,Judiciary GF,1.18,Municipal Judges/Cases Docketed,Personnel Services,2369398,0,2204997.88,2204997.88
2022,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.20,Residential Refuse Collection,Contractual & Other Services,25130679,363383.11,25847345.65,26210728.76
2022,GNFD,General Fund,0001CCO,City Controller's Office GF,9.99,Department Support,Contractual & Other Services,52417,0,58371.18,58371.18
2022,GNFD,General Fund,0001EQI,Office of Equity & Inclusion,5.57,Welcoming Communities & Immigrant Affairs,Contractual & Other Services,15000,0,12512.78,12512.78
2022,GNFD,General Fund,0001DPD,Police Department GF,1.29,Police Operational Support,Reimbursements,-4065000,0,-4063793.71,-4063793.71
2022,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.49,Trinity River Corridor Operations,Contractual & Other Services,542559,1236,250013.13,251249.13
2023,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.39,Sobering Center,Contractual & Other Services,0,0,31604.2,31604.2
2022,GNFD,General Fund,0001DPD,Police Department GF,1.30,Police Recruiting and Personnel Service,Supplies & Materials,250090,943,203606.74,204549.74
2022,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.Q,Strategic Technology Management,Personnel Services,10040808,0,7999731.08,7999731.08
2022,GNFD,General Fund,0001PBW,Public Works GF,2.56,Street Resurfacing,Contractual & Other Services,0,0,0,0
2023,GNFD,General Fund,0001PKR,Park and Recreation GF,4.10,"Planning, Design, Construction & EMS and Environ Compliance",Capital Outlay,520000,0,1225,1225
2023,GNFD,General Fund,0001DBI,General Fund DBI,2.47,Traffic Operations Maintenance,Personnel Services,749309,0,191730.38,191730.38
2023,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,2.19,Floodway Operations,Capital Outlay,50000,88127.76,97550.61,185678.37
2023,GNFD,General Fund,0001CCO,City Controller's Office GF,5.24,Deferred Compensation,Reimbursements,-275800,0,99466.64,99466.64
2023,GNFD,General Fund,0001PNV,Planning and Urban Design GF,9.99,Department Support,Contractual & Other Services,371693,18860.46,463349.48,482209.94
2023,OTBM,Other-Budget Office,0722PBW,Equity Fund PBW,2.05,Capital and Implementation Program,Contractual & Other Services,0,0,0,0
2022,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.20,Residential Refuse Collection,Reimbursements,-221352,0,-221352,-221352
2023,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,3.22,Stormwater Regulations & Enforcement,Contractual & Other Services,365764,83079.63,127792.58,210872.21
2022,GNFD,General Fund,0001CCS,Code Compliance GF,3.17,Neighborhood Code Compliance Services,Supplies & Materials,528197,12713.73,694688.95,707402.68
2022,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.55,Water Utilities Customer Account Services,Reimbursements,-576915,0,-369,-369
2022,DSGO,General Obligation Debt Service,0981BMS,Debt Service BMS,8.88,Debt Service,Debt Svc-Interest On Bonds,80498284,0,74655746.06,74655746.06
2022,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.17,Municipal Court Services,Personnel Services,5346367,0,4930704.47,4930704.47
2022,BP17,2017 General Obligation Bond Program,1V22PBW,Street and Transportation Improvements 2017 bond program,6.02,Alley Reconstruction,Contractual & Other Services,8191.48,0,0,0
2023,GNFD,General Fund,0001IGS,Mgmt Services - Intergovernmental Services,5.41,Office of Strategic Partnerships and Government Affairs,Supplies & Materials,8620,20,2799.96,2819.96
2022,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,2.20,Floodplain and Drainage Management,Personnel Services,9369129,0,8791733.4,8791733.4
2022,GNFD,General Fund,0001ATT,City Attorney's Office GF,3.07,Community Prosecution,Supplies & Materials,7250,0,17341.98,17341.98
2023,GNFD,General Fund,0001DPD,Police Department GF,1.20,Police Academy and In-service Training,Reimbursements,0,0,-1463.99,-1463.99
2022,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.54,"Water Planning, Financial and Rate Services",Contractual & Other Services,1219471,237727.16,871137.94,1108865.1
2022,GNFD,General Fund,0001PNV,Planning and Urban Design GF,2.75,Zoning,Supplies & Materials,35139,0,36991.07,36991.07
2022,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,9.99,Department Support,Contractual & Other Services,522876,3661.87,298573.2,302235.07
2022,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.09,Fire and Rescue Emergency Response,Personnel Services,250837270,0,260214508.17,260214508.17
2023,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.17,Field Inspections of Private Development Construction Sites,Supplies & Materials,85792,13127.38,128795.1,141922.48
2023,GNFD,General Fund,0001OEM,Mgmt Services - Emergency Management,1.07,Emergency Management Operations,Personnel Services,612055,0,581145.45,581145.45
2023,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.20,Residential Refuse Collection,Supplies & Materials,4732974,1982806.04,3995938.5,5978744.54
2022,GNFD,General Fund,0001DPD,Police Department GF,1.27,Police Investigations of Narcotics Related Crimes,Contractual & Other Services,493934,0,365987.35,365987.35
2022,GNFD,General Fund,0001BMS,Office of Financial Services GF,5.36,Grant Administration,Supplies & Materials,4159,0,47672.06,47672.06
2022,GNFD,General Fund,0001OHP,Office of Historic Preservation,2.69,Historic Preservation,Personnel Services,621102,0,619070.27,619070.27
2022,INSV,Internal Service Fund,0196EFM,Equipment and Fleet Management,5.D,City Fleet Asset Management,Transfers Out,87350,0,0,0
2022,GNFD,General Fund,0001CVS,Civil Service GF,5.33,Fire Applicant - Physical Abilities Testing,Supplies & Materials,0,0,321.87,321.87
2023,GNFD,General Fund,0001IND,Gf - Ind Audit Contract,5.40,Independent Audit,Contractual & Other Services,755000,755000,0,755000
2023,GNFD,General Fund,0001BSD,Building Services,3.11,Custodial Maintenance,Personnel Services,3015444,0,2870406.96,2870406.96
2023,GNFD,General Fund,0001CCO,City Controller's Office GF,5.62,Contract Compliance and Monitoring,Supplies & Materials,12405,0,1190.84,1190.84
2023,EFOP,Enterprise Operating Fund,0130AVI,Airport Operations AVI,2.21,Aviation Facilities - Dallas Executive Airport & Vertiport,Supplies & Materials,286488,22600.55,172261.69,194862.24
2022,GNFD,General Fund,0001PBW,Public Works GF,2.31,Pavement Management,Supplies & Materials,2717,0,5615.79,5615.79
2022,GNFD,General Fund,0001HOU,Housing GF,2.25,Housing Preservation,Contractual & Other Services,812259,94434.18,185969.32,280403.5
2022,INSV,Internal Service Fund,0294MGT,Mgmt Services - Office of the Bond Program,5.60,Office of the Bond Program,Supplies & Materials,32780,0,2114.71,2114.71
2023,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.08,Construction Plan Review and Permitting,Contractual & Other Services,17304107.4,9011202.07,7731575.91,16742777.98
2023,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,9.99,Department Support,Reimbursements,-4044830,0,0,0
2022,GNFD,General Fund,0001PBW,Public Works GF,2.57,Street Forestry Division,Capital Outlay,45000,0,26975.95,26975.95
2022,DSGO,General Obligation Debt Service,0981BMS,Debt Service BMS,,NONE,Debt Svc-Interest On Bonds,0,0,2149806.25,2149806.25
2022,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.14,Inspection and Life Safety Education,Supplies & Materials,83850,792.35,106532.97,107325.32
2022,GNFD,General Fund,0001DBI,General Fund DBI,2.47,Traffic Operations Maintenance,Personnel Services,196030,0,0,0
2023,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.16,Express Plan Review,Supplies & Materials,0,0,481.84,481.84
2022,GNFD,General Fund,0001DAS,Dallas Animal Services GF,3.12,Dallas Animal Services,Supplies & Materials,1845520,0,1982120.73,1982120.73
2022,GNFD,General Fund,0001LIB,Library GF,4.06,Library Materials & Collection Management,Supplies & Materials,26891,0,33993.27,33993.27
2022,GNFD,General Fund,0001PBW,Public Works GF,2.58,Street Maintenance Contracts,Reimbursements,-1945455,0,-1484483.7,-1484483.7
2023,GNFD,General Fund,0001PBW,Public Works GF,2.44,Street Repair Division - Concrete,Supplies & Materials,4163740,200335.34,4007094.12,4207429.46
2022,GNFD,General Fund,0001OEM,Mgmt Services - Emergency Management,1.07,Emergency Management Operations,Supplies & Materials,52071,0,38412.29,38412.29
2022,OTHO,Other Operating Fund,0189ORM,ORM - Workers' Compensation,5.P,Risk Management Services,Personnel Services,0,0,13967304.63,13967304.63
2022,GNFD,General Fund,0001CCO,City Controller's Office GF,5.24,Deferred Compensation,Reimbursements,-125800,0,-125800,-125800
2022,GNFD,General Fund,0001DPD,Police Department GF,1.25,Police Intelligence,Contractual & Other Services,335669,0,781622.28,781622.28
2023,GNFD,General Fund,0001HOU,Housing GF,2.67,New Development,Contractual & Other Services,685234.5,30.16,93715.64,93745.8
2023,GNFD,General Fund,0001CCO,City Controller's Office GF,5.02,Accounts Payable,Reimbursements,-129812,0,-129812,-129812
2022,GNFD,General Fund,0001ECO,Economic Development GF,9.99,Department Support,Reimbursements,-1382580,0,-1262981.26,-1262981.26
2022,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.15,Engineering & Inspection Review for Private Development,Personnel Services,2568498,0,3101578.63,3101578.63
2023,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.06,Dallas City Marshal,Contractual & Other Services,495755,2991.15,250890.98,253882.13
2022,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.52,Water Capital Funding,Contractual & Other Services,12920628,0,618675.82,618675.82
2022,GNFD,General Fund,0001TRN,Transportation GF,2.27,Mobility Planning,Contractual & Other Services,0,-19040,0,-19040
2022,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.L,Internal Desktop Support,Personnel Services,218895,0,110509.41,110509.41
2023,INSV,Internal Service Fund,0196EFM,Equipment and Fleet Management,5.E,City Fleet Maintenance and Repair Services,Supplies & Materials,9598653,447061.05,8981306.24,9428367.29
2023,FDGT,Federal Grant (non Consolidated Plan),F8FMSTS,TxDoT Signal Improv. Loop 12 at 7 Locs,2.05,Capital and Implementation Program,Capital Outlay,0.01,0,0,0
2023,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.54,"Water Planning, Financial and Rate Services",Contractual & Other Services,1762309,971635.63,139395.2,1111030.83
2022,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.08,Construction Plan Review and Permitting,Supplies & Materials,120157,0,163855.66,163855.66
2023,GNFD,General Fund,0001BSD,Building Services,5.29,Energy Procurement and Monitoring,Reimbursements,-164278,0,-129369,-129369
2022,GNFD,General Fund,0001PER,Human Resources GF,5.39,HR Consulting (HRP/Investigations),Personnel Services,1903390,0,1664442.78,1664442.78
2022,GNFD,General Fund,0001PIO,Mgmt Services - Public Information Office,5.48,Public Information Office / Communications & Broadcasting,Supplies & Materials,38604,132,26626.88,26758.88
2022,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.26,DWU General Expense,Supplies & Materials,26068997,0,23997686.3,23997686.3
2023,GNFD,General Fund,0001OFS,Non-Departmental,2.46,Tax Increment Financing Districts Payments,Contractual & Other Services,86360524,0,86010929.15,86010929.15
2022,INSV,Internal Service Fund,0260PER,HR Health Risk Funds,5.J,Administrative/HRIS,Contractual & Other Services,0,0,95737.32,95737.32
2022,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.39,Sobering Center,Supplies & Materials,200,0,0,0
2023,GNFD,General Fund,0001IPS,MGT- Office of Integrated Public Safety Solutions,5.66,Office of Integrated Public Safety Solutions,Supplies & Materials,72072,200,48345.14,48545.14
2022,GNFD,General Fund,0001DPD,Police Department GF,1.30,Police Recruiting and Personnel Service,Contractual & Other Services,2958419,0,3356324.6,3356324.6
2022,INSV,Internal Service Fund,0199POM,Express Business Center POM,5.G,Disposal of Surplus and Police Unclaimed Property,Personnel Services,240352,0,150252.24,150252.24
2022,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.20,Residential Refuse Collection,Personnel Services,20774999,0,20353474.06,20353474.06
2022,EFOP,Enterprise Operating Fund,0080CCT,Convention Center CCT,2.50,Union Station,Contractual & Other Services,472000,0,773242.47,773242.47
2022,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.15,Engineering & Inspection Review for Private Development,Reimbursements,-599117,0,-599089.48,-599089.48
2022,INSV,Internal Service Fund,0196EFM,Equipment and Fleet Management,5.E,City Fleet Maintenance and Repair Services,Transfers Out,898069,0,1009316.47,1009316.47
2023,GNFD,General Fund,0001POM,Business Development & Procurement GF,5.G,Disposal of Surplus and Police Unclaimed Property,Personnel Services,0,0,0,0
2022,GNFD,General Fund,0001PER,Human Resources GF,9.99,Department Support,Contractual & Other Services,249392,3316.46,504869.55,508186.01
2023,GNFD,General Fund,0001PBW,Public Works GF,2.38,Rights-of-Way Maintenance Contracts and Inspections Group,Capital Outlay,79026,68360.26,0,68360.26
2022,INSV,Internal Service Fund,0294TRN,Transportation - Office of the Bond Program,5.60,Office of the Bond Program,Supplies & Materials,3150,0,0,0
2023,GNFD,General Fund,0001CCO,City Controller's Office GF,5.02,Accounts Payable,Contractual & Other Services,389313,201283.03,319668.16,520951.19
2022,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.18,City GIS Services,Personnel Services,0,0,42.65,42.65
2022,EFOP,Enterprise Operating Fund,0140OCA,Municipal Radio OCA,4.13,WRR Municipal Radio Classical Music,Transfers Out,39915,0,57963.05,57963.05
2023,INSV,Internal Service Fund,0196EFM,Equipment and Fleet Management,5.I,Fuel Procurement and Management,Capital Outlay,596027,108647.71,61055,169702.71
2022,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.35,Flowerdale Ln and Catamore Ln - Dundee Dr to Royal Chapel Dr,Contractual & Other Services,2355499,4698,2654861.17,2659559.17
2022,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.N,Internal Telephone and Data Communication,Supplies & Materials,201728,0,148245.81,148245.81
2023,GNFD,General Fund,0001DPD,Police Department GF,1.31,Police Special Operations,Supplies & Materials,1092727,195429.3,1033027.24,1228456.54
2022,GNFD,General Fund,0001DPD,Police Department GF,1.29,Police Operational Support,Personnel Services,45553694,0,37478133.81,37478133.81
2022,GNFD,General Fund,0001CMO,City Manager's Office GF,5.14,City Administration,Contractual & Other Services,197107,0,227628.91,227628.91
2022,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,4.11,Public Art for Dallas,Reimbursements,-285934,0,-227165.29,-227165.29
2022,GNFD,General Fund,0001BSD,Building Services,2.07,Capital Facilities,Transfers Out,1000000,0,1000000,1000000
2022,GNFD,General Fund,0001BMS,Office of Financial Services GF,5.52,Utility Management,Supplies & Materials,286,0,0,0
2022,GNFD,General Fund,0001DPD,Police Department GF,1.22,Police Community Outreach,Contractual & Other Services,99904,0,523693.91,523693.91
2023,GNFD,General Fund,0001OHS,Office of Homeless Solutions,3.09,Comprehensive Homeless Outreach,Reimbursements,-100000,0,-208899.17,-208899.17
2022,GNFD,General Fund,0001PBW,Public Works GF,2.44,Street Repair Division - Concrete,Reimbursements,-173296,0,-2345395.01,-2345395.01
2022,GNFD,General Fund,0001PNV,Planning and Urban Design GF,9.99,Department Support,Supplies & Materials,53523,0,20809.19,20809.19
2022,INSV,Internal Service Fund,0196EFM,Equipment and Fleet Management,5.I,Fuel Procurement and Management,Reimbursements,-397380,0,-415954.23,-415954.23
2022,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.19,Recycling Collection and Waste Diversion,Contractual & Other Services,10029292,0,10419333.05,10419333.05
2022,GNFD,General Fund,0001BSD,Building Services,3.11,Custodial Maintenance,Contractual & Other Services,1976942,831.4,2158127.17,2158958.57
2022,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,4.02,City-Owned Cultural Venues,Capital Outlay,0,0,142567.91,142567.91
2022,EFOP,Enterprise Operating Fund,0080CCT,Convention Center CCT,2.29,Office of Special Events,Supplies & Materials,7650,0,12917.32,12917.32
2023,GNFD,General Fund,0001ATT,City Attorney's Office GF,5.72,Ethics and Investigations,Contractual & Other Services,27556,7673.15,20412.25,28085.4
2022,GNFD,General Fund,0001PKR,Park and Recreation GF,4.04,Golf and Tennis Centers,Reimbursements,-357319,0,-1389881.65,-1389881.65
2022,INSV,Internal Service Fund,0196EFM,Equipment and Fleet Management,5.D,City Fleet Asset Management,Contractual & Other Services,1411945,193.1,1386957.93,1387151.03
2022,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,3.25,Wastewater Treatment,Reimbursements,-1756958,0,-183586.06,-183586.06
2022,GNFD,General Fund,0001BSD,Building Services,2.07,Capital Facilities,Contractual & Other Services,142412,0,86983.39,86983.39
2022,INSV,Internal Service Fund,0197DSV,Radio Services DSV,5.M,Internal Radio Communication,Capital Outlay,0,0,36291.84,36291.84
2022,DSGO,General Obligation Debt Service,0981BMS,Debt Service BMS,,NONE,Debt Svc-Interest On Bonds,2149806,0,0,0
2023,EFOP,Enterprise Operating Fund,0130AVI,Airport Operations AVI,2.36,Regulation and Enforcement of For Hire Transportation,Contractual & Other Services,0,0,1313.38,1313.38
2022,GNFD,General Fund,0001CCO,City Controller's Office GF,5.24,Deferred Compensation,Supplies & Materials,1800,0,0,0
2023,GNFD,General Fund,0001CMO,City Manager's Office GF,5.30,Ethics and Compliance,Personnel Services,130378,0,66561.57,66561.57
2022,GNFD,General Fund,0001CCO,City Controller's Office GF,5.28,EMS Compliance Program,Supplies & Materials,6000,0,0,0
2022,GNFD,General Fund,0001IPS,MGT- Office of Integrated Public Safety Solutions,5.66,Office of Integrated Public Safety Solutions,Capital Outlay,0,0,149.59,149.59
2022,GNFD,General Fund,0001PKR,Park and Recreation GF,4.10,"Planning, Design, Construction & EMS and Environ Compliance",Reimbursements,-620000,0,-520450,-520450
2023,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.15,Engineering & Inspection Review for Private Development,Supplies & Materials,0,0,7705.21,7705.21
2022,EFOP,Enterprise Operating Fund,0080CCT,Convention Center CCT,2.10,Dallas Convention Center,Debt Svc-Interest On Bonds,0,0,28490,28490
2022,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,3.22,Stormwater Regulations & Enforcement,Capital Outlay,2000,0,0,0
2022,GNFD,General Fund,0001CVS,Civil Service GF,5.20,Civil Service Board Administration/Employee Appeals Process,Contractual & Other Services,101243,2073.68,47051.39,49125.07
2023,EFOP,Enterprise Operating Fund,0080CCT,Convention Center CCT,2.29,Office of Special Events,Supplies & Materials,12250,0,8210.49,8210.49
2022,GNFD,General Fund,0001OPO,Office of Police Oversight,5.64,Office of Police Oversight,Contractual & Other Services,86796,0,42599,42599
2022,GNFD,General Fund,0001ECO,Economic Development GF,2.13,Economic Development Major Projects & Other Programs,Personnel Services,285260,0,412910.96,412910.96
2023,GNFD,General Fund,0001OEQ,Mgmt Services - Environmental Quaity,3.14,Environmental Quality,Supplies & Materials,510648,62539.47,305392.35,367931.82
2022,GNFD,General Fund,0001DPD,Police Department GF,1.31,Police Special Operations,Reimbursements,-9884328,0,-11526874.23,-11526874.23
2022,GNFD,General Fund,0001CCO,City Controller's Office GF,5.02,Accounts Payable,Supplies & Materials,26769,0,24129.54,24129.54
2022,GNFD,General Fund,0001CTJ,Judiciary GF,1.05,Court Security,Supplies & Materials,7870,0,0,0
2023,GNFD,General Fund,0001ATT,City Attorney's Office GF,1.19,Municipal Prosecution,Contractual & Other Services,85346,0,21183.99,21183.99
